"","modelType","seed","nCellType","nSample","Batch","CancerType","pooled_scSTMseq"
"416","NullModel","1730505732",5,20,FALSE,FALSE,1
"417","NullModel","1730505806",5,20,FALSE,FALSE,1
"418","NullModel","1730505831",5,20,FALSE,FALSE,1
"419","NullModel","1730505836",5,20,FALSE,FALSE,1
"420","NullModel","1730505867",5,20,FALSE,FALSE,1
"421","NullModel","1730505906",5,20,FALSE,FALSE,1
"422","NullModel","1730505910",5,20,FALSE,FALSE,1
"423","NullModel","1730505920",5,20,FALSE,FALSE,1
"424","NullModel","1730505923",5,20,FALSE,FALSE,1
"425","NullModel","1730505937",5,20,FALSE,FALSE,1
"426","NullModel","1730505938",5,20,FALSE,FALSE,1
"427","NullModel","1730505945",5,20,FALSE,FALSE,1
"428","NullModel","1730505955",5,20,FALSE,FALSE,1
"429","NullModel","1730505960",5,20,FALSE,FALSE,1
"430","NullModel","1730505966",5,20,FALSE,FALSE,1
"431","NullModel","1730505973",5,20,FALSE,FALSE,1
"432","NullModel","1730505983",5,20,FALSE,FALSE,1
"433","NullModel","1730506002",5,20,FALSE,FALSE,1
"434","NullModel","1730506030",5,20,FALSE,FALSE,1
"435","NullModel","1730506096",5,20,FALSE,FALSE,1
"436","NullModel","1730506121",5,20,FALSE,FALSE,1
"437","NullModel","1730506132",5,20,FALSE,FALSE,1
"438","NullModel","1730506142",5,20,FALSE,FALSE,1
"439","NullModel","1730506145",5,20,FALSE,FALSE,1
"440","NullModel","1730506248",5,20,FALSE,FALSE,1
"441","NullModel","1730506254",5,20,FALSE,FALSE,1
"442","NullModel","1730506289",5,20,FALSE,FALSE,1
"443","NullModel","1730506311",5,20,FALSE,FALSE,1
"444","NullModel","1730506315",5,20,FALSE,FALSE,1
"445","NullModel","1730506317",5,20,FALSE,FALSE,1
"446","NullModel","1730506322",5,20,FALSE,FALSE,1
"447","NullModel","1730506333",5,20,FALSE,FALSE,1
"448","NullModel","1730506335",5,20,FALSE,FALSE,1
"449","NullModel","1730506339",5,20,FALSE,FALSE,1
"450","NullModel","1730506349",5,20,FALSE,FALSE,1
"451","NullModel","1730506359",5,20,FALSE,FALSE,1
"452","NullModel","1730506386",5,20,FALSE,FALSE,1
"453","NullModel","1730506411",5,20,FALSE,FALSE,1
"454","NullModel","1730506428",5,20,FALSE,FALSE,1
"455","NullModel","1730506436",5,20,FALSE,FALSE,1
"456","NullModel","1730506439",5,20,FALSE,FALSE,1
"457","NullModel","1730506443",5,20,FALSE,FALSE,1
"458","NullModel","1730506456",5,20,FALSE,FALSE,1
"459","NullModel","1730506504",5,20,FALSE,FALSE,1
"460","NullModel","1730506516",5,20,FALSE,FALSE,1
"461","NullModel","1730506519",5,20,FALSE,FALSE,1
"462","NullModel","1730506535",5,20,FALSE,FALSE,1
"463","NullModel","1730506590",5,20,FALSE,FALSE,1
"464","NullModel","1730506622",5,20,FALSE,FALSE,1
"465","NullModel","1730506632",5,20,FALSE,FALSE,1
"466","NullModel","1730506646",5,20,FALSE,FALSE,1
"467","NullModel","1730506656",5,20,FALSE,FALSE,1
"468","NullModel","1730506689",5,20,FALSE,FALSE,1
"469","NullModel","1730506692",5,20,FALSE,FALSE,1
"470","NullModel","1730506707",5,20,FALSE,FALSE,1
"471","NullModel","1730506712",5,20,FALSE,FALSE,1
"472","NullModel","1730506732",5,20,FALSE,FALSE,1
"473","NullModel","1730506735",5,20,FALSE,FALSE,1
"474","NullModel","1730506751",5,20,FALSE,FALSE,1
"475","NullModel","1730506769",5,20,FALSE,FALSE,1
"476","NullModel","1730506771",5,20,FALSE,FALSE,1
