"","modelType","seed","nCellType","nSample","Batch","CancerType","ARI"
"189","NullModel","1732165884",10,20,TRUE,TRUE,0.825501226381198
"190","HighVar0.1","1732165891",10,20,TRUE,TRUE,0.675946150517508
"191","HighVar0.16","1732165891",10,20,TRUE,TRUE,0.706187182012366
"192","HighVar0.23","1732165891",10,20,TRUE,TRUE,0.717501699556341
"193","HighVar0.3","1732165891",10,20,TRUE,TRUE,0.669591260897279
"194","HighVar0.4","1732165891",10,20,TRUE,TRUE,0.720968994110442
"195","NullModel","1732165891",10,20,TRUE,TRUE,0.682224253011983
"196","HighVar0.1","1732165892",10,20,TRUE,TRUE,0.630807116087758
"197","HighVar0.16","1732165892",10,20,TRUE,TRUE,0.696378541800698
"198","HighVar0.23","1732165892",10,20,TRUE,TRUE,0.668840586868436
"199","HighVar0.3","1732165892",10,20,TRUE,TRUE,0.720041039773537
"200","HighVar0.4","1732165892",10,20,TRUE,TRUE,0.681824344904976
"201","NullModel","1732165892",10,20,TRUE,TRUE,0.674224061885146
"202","HighVar0.1","1732165905",10,20,TRUE,TRUE,0.711957506237758
"203","HighVar0.16","1732165905",10,20,TRUE,TRUE,0.732367791101585
"204","HighVar0.23","1732165905",10,20,TRUE,TRUE,0.752977038034311
"205","HighVar0.3","1732165905",10,20,TRUE,TRUE,0.779951020968228
"206","HighVar0.4","1732165905",10,20,TRUE,TRUE,0.769593802615567
"207","NullModel","1732165905",10,20,TRUE,TRUE,0.733837777501531
"208","HighVar0.1","1732165906",10,20,TRUE,TRUE,0.79481429233163
"209","HighVar0.16","1732165906",10,20,TRUE,TRUE,0.767015907762616
"210","HighVar0.23","1732165906",10,20,TRUE,TRUE,0.708548298898154
"211","HighVar0.3","1732165906",10,20,TRUE,TRUE,0.668312129053034
"212","HighVar0.4","1732165906",10,20,TRUE,TRUE,0.731475857646655
"213","NullModel","1732165906",10,20,TRUE,TRUE,0.716290774615307
"214","HighVar0.1","1732165936",10,20,TRUE,TRUE,0.676712472931975
"215","HighVar0.16","1732165936",10,20,TRUE,TRUE,0.682848322228268
"216","HighVar0.23","1732165936",10,20,TRUE,TRUE,0.706347736348299
"217","HighVar0.3","1732165936",10,20,TRUE,TRUE,0.642968330829683
"218","HighVar0.4","1732165936",10,20,TRUE,TRUE,0.711377274476827
"219","NullModel","1732165936",10,20,TRUE,TRUE,0.753161340583826
"220","HighVar0.1","1732165966",10,20,TRUE,TRUE,0.672271807645146
"221","HighVar0.16","1732165966",10,20,TRUE,TRUE,0.648861551424421
"222","HighVar0.23","1732165966",10,20,TRUE,TRUE,0.710697331621559
"223","HighVar0.3","1732165966",10,20,TRUE,TRUE,0.762366190215566
"224","HighVar0.4","1732165966",10,20,TRUE,TRUE,0.781506949614256
"225","NullModel","1732165966",10,20,TRUE,TRUE,0.68787614155526
"226","HighVar0.1","1732165971",10,20,TRUE,TRUE,0.762030786217784
"227","HighVar0.16","1732165971",10,20,TRUE,TRUE,0.753144412339474
"228","HighVar0.23","1732165971",10,20,TRUE,TRUE,0.784678611652678
"229","HighVar0.3","1732165971",10,20,TRUE,TRUE,0.797720845617178
"230","HighVar0.4","1732165971",10,20,TRUE,TRUE,0.806221999365787
"231","NullModel","1732165971",10,20,TRUE,TRUE,0.729096727464969
"232","HighVar0.1","1732165987",10,20,TRUE,TRUE,0.754392550478871
"233","HighVar0.16","1732165987",10,20,TRUE,TRUE,0.681219322183237
"234","HighVar0.23","1732165987",10,20,TRUE,TRUE,0.601913489547989
"235","HighVar0.3","1732165987",10,20,TRUE,TRUE,0.672653576709725
"236","HighVar0.4","1732165987",10,20,TRUE,TRUE,0.595118800098433
"237","NullModel","1732165987",10,20,TRUE,TRUE,0.673388991483463
"238","HighVar0.1","1732165990",10,20,TRUE,TRUE,0.704521661539748
"239","HighVar0.16","1732165990",10,20,TRUE,TRUE,0.66056146834194
"240","HighVar0.23","1732165990",10,20,TRUE,TRUE,0.702250496735784
"241","HighVar0.3","1732165990",10,20,TRUE,TRUE,0.685895818115978
"242","HighVar0.4","1732165990",10,20,TRUE,TRUE,0.71020983390992
"243","NullModel","1732165990",10,20,TRUE,TRUE,0.681702884617034
"244","HighVar0.1","1732165993",10,20,TRUE,TRUE,0.713500856907825
"245","HighVar0.16","1732165993",10,20,TRUE,TRUE,0.499728375401709
"246","HighVar0.23","1732165993",10,20,TRUE,TRUE,0.550056389361709
"247","HighVar0.3","1732165993",10,20,TRUE,TRUE,0.635632961398059
"248","HighVar0.4","1732165993",10,20,TRUE,TRUE,0.712288869701875
"249","NullModel","1732165993",10,20,TRUE,TRUE,0.553414399511294
"250","HighVar0.1","1732165994",10,20,TRUE,TRUE,0.682861555374665
"251","HighVar0.16","1732165994",10,20,TRUE,TRUE,0.722147468484931
"252","HighVar0.23","1732165994",10,20,TRUE,TRUE,0.673846442068767
"253","HighVar0.3","1732165994",10,20,TRUE,TRUE,0.643258429290909
"254","HighVar0.4","1732165994",10,20,TRUE,TRUE,0.662096405592431
"255","NullModel","1732165994",10,20,TRUE,TRUE,0.586594159139879
"256","HighVar0.1","1732166009",10,20,TRUE,TRUE,0.698453453849487
"257","HighVar0.16","1732166009",10,20,TRUE,TRUE,0.714241238701587
"258","HighVar0.23","1732166009",10,20,TRUE,TRUE,0.780021999679933
"259","HighVar0.3","1732166009",10,20,TRUE,TRUE,0.767692970222345
"260","HighVar0.4","1732166009",10,20,TRUE,TRUE,0.751180303840126
"261","NullModel","1732166009",10,20,TRUE,TRUE,0.778846753268073
"262","HighVar0.1","1732166012",10,20,TRUE,TRUE,0.659545640952179
"263","HighVar0.16","1732166012",10,20,TRUE,TRUE,0.632097877294799
"264","HighVar0.23","1732166012",10,20,TRUE,TRUE,0.658544537817068
"265","HighVar0.3","1732166012",10,20,TRUE,TRUE,0.7408522286366
"266","HighVar0.4","1732166012",10,20,TRUE,TRUE,0.699048741429939
"267","NullModel","1732166012",10,20,TRUE,TRUE,0.699088947038023
"268","HighVar0.1","1732166045",10,20,TRUE,TRUE,0.83699839782707
"269","HighVar0.16","1732166045",10,20,TRUE,TRUE,0.813316721248688
"270","HighVar0.23","1732166045",10,20,TRUE,TRUE,0.81518765221505
