"","scSTMType","modelType","seed","nCellType","nSample","Batch","CancerType","Num_iter","Num_init","max_llh","llh5","llh10","llh15","llh30","llh50","pooled_scSTMseq"
"168","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763254",10,10,TRUE,TRUE,30,50,-825778867.967998,-827186839.600402,-826411793.432548,-826158034.781083,-825857910.378795,-825781394.001618,0.95725303812667
"169","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763256",10,10,TRUE,TRUE,30,50,-750133776.167981,-751174466.262161,-750841690.702091,-750649918.993516,-750374476.816231,-750229398.466899,0.918292162096373
"170","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763269",10,10,TRUE,TRUE,30,50,-814625591.500398,-817181389.089036,-815869133.028366,-815394147.151965,-814880515.33622,-814695516.33805,0.887415383824445
"171","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763284",10,10,TRUE,TRUE,30,50,-703506394.271856,-708047806.069135,-705474243.203643,-704718615.91473,-703933398.65315,-703625866.406697,0.654014950305743
"172","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763287",10,10,TRUE,TRUE,30,50,-790445208.875393,-795157931.068533,-792573495.029289,-791755381.431846,-790883789.20251,-605145203197.729,0.667268995256586
"173","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763297",10,10,TRUE,TRUE,30,50,-748743168.709837,-749818432.488728,-749395224.098711,-749254137.972618,-749079488.754957,-748912357.900648,0.900668987403976
"174","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763305",10,10,TRUE,TRUE,30,50,-798962287.749309,-800109085.139038,-799707559.905296,-799489332.089975,-799203412.140564,-799035508.092799,0.965359771803217
"175","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763313",10,10,TRUE,TRUE,30,50,-722228574.053277,-723417934.171681,-722562634.875766,-722348121.201568,-722261253.847842,NA,0.975534179566207
"176","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763316",10,10,TRUE,TRUE,30,50,-789395260.771339,-790614373.345636,-790027389.457423,-789798226.908226,-789540333.273527,-789457638.039028,0.95164054459208
"177","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763321",10,10,TRUE,TRUE,30,50,-720645333.297368,-721650878.510615,-721263076.871577,-721089919.357453,-720887916.279714,-720765646.84264,0.827441743219798
"178","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763336",10,10,TRUE,TRUE,30,50,-767318806.661208,-768387575.633697,-767951220.932158,-767769028.755597,-767497271.260843,-767361662.595944,0.984606578216859
"179","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763365",10,10,TRUE,TRUE,30,50,-723727030.610506,-724414515.639421,-724186491.093191,-724052879.032779,-723855599.248221,-723754608.627029,0.953895029119516
"180","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763381",10,10,TRUE,TRUE,30,50,-805968461.183304,-811296159.930868,-808199167.543547,-807260584.7177,-806436273.838781,-806068735.438209,0.705075064850598
"181","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,5,15,-766340167.832564,-767802396.364295,-767112213.311745,-766851616.089334,-766535765.847748,-766393465.745342,0.848438829083261
"182","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,5,15,-807764466.185401,-808896097.443385,-808503356.985022,-808326699.83478,-808085323.430562,-807944133.558447,0.903628928688514
"183","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,15,-820130627.194948,-821123757.413971,-820774750.210342,-820614168.569525,-820420016.963751,-820276242.596725,0.944584336234329
