"","scSTMType","modelType","seed","nCellType","nSample","Batch","CancerType","Num_iter","Num_init","method","init_llh","llh5","llh10","llh15","llh30","llh50","max_llh","pooled_scSTMseq"
"107","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"TopicScore",-823232608.33686,-821122662.135109,-820774450.800231,-820614259.348437,-820419773.636423,-820274889.830367,-820131531.30728,0.944721917432327
"108","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"TopicScore",-823232427.074088,-821122714.062271,-820774548.562183,-820614461.589279,-820419647.971469,-820274833.133815,-820199022.432799,0.941086857100754
"109","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"TopicScore",-823235122.885247,-821123629.751168,-820774593.245253,-820614121.346971,-820420141.962864,-820276533.245292,-820193515.014754,0.941959315535075
"110","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"TopicScore",-823233143.449993,-821124345.611316,-820776342.406701,-820615790.20565,-820420907.188206,-820277255.457377,-820161620.226467,0.938538249515484
"111","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"TopicScore",-823235103.050784,-821124380.542,-820775184.690889,-820614403.742629,-820419575.123036,-820276449.091433,-820157549.991542,0.940146770721175
"112","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"TopicScore",-823235139.16871,-821124411.970916,-820775246.596637,-820614691.818458,-820419850.988038,-820275610.567479,-820204189.657326,0.939595855164788
"113","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"TopicScore",-823233062.454134,-821124431.378609,-820776617.669631,-820615953.048624,-820421318.458129,-820277282.584592,-820163085.739631,0.938538249515484
"114","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"TopicScore",-823238480.557524,-821124560.744011,-820775442.820154,-820615191.244225,-820420985.332204,-820276014.952368,-820133676.543092,0.944808711299736
"115","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"TopicScore",-823238683.059416,-821127344.594857,-820778275.058388,-820616404.590881,-820420117.014372,-820276447.12957,-820182784.244705,0.941134842238478
"116","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"Spectral",-826135819.138553,-821689288.140129,-820871746.46605,-820518999.344135,-820208811.631044,-820138937.711798,-820138658.296193,0.936672879324728
